B1_DESC,B1_DESC_2,Equivalencia,Cantidad,Cantidad Comprobantes,Cant Clientes,80/20,Meses Vendidos,Peso,Ancho,Largo,Alto,Clasificacion CD
ROD60SKF21,NKI 60/35,463740,3,2,1,0.000006777045579869119,2,0.578,42,94,96,CD9
ROD85SKF4,NKI 85/26,464000,2,2,2,0.00001005141877881834,2,0.779,33,124,126,CD9
ROD85SKF5,NKI 85/36,464040,2,1,1,0.000013544014026896304,1,1.08,39,124,126,OO9
ROD49SKF7,NA 49/32,464300,3,3,3,0.000004437413323843954,3,0.166,26,55,57,CD2
ROD6007SKF,6007,500800,76,17,13,0.000008827915856872018,14,0.1524,22,65,67,CC1
ROD6001SKF,6001,500900,117,37,13,0.0000072034125452846645,22,0.0217,9,60,60,CC1
ROD6020SKF,6020,504500,8,10,6,0.00001529430775533812,5,1.2627,34,164,166,CD2
ROD6305SKF,6305,516500,327,87,43,0.00003984255084562443,33,0.2224,22,65,67,CB1
ROD6017SKF,6017,518200,39,15,11,0.00006589367667871614,11,0.9402,32,144,146,CC1
ROD6030SKF,6030,519200,15,9,3,0.0000776366638256216,8,4.2904,46,237,241,BD1
ROD6013SKF,6013,524000,67,19,12,0.000037547396969039513,15,0.4558,26,114,116,CC1
ROD6004SKF,6004,527700,177,20,14,0.000009293548891637162,19,0.0726,19,55,57,CC1
ROD6028SKF,6028,530500,20,9,6,0.00009117025323233657,7,3.477,41,217,221,CD2
ROD6003SKF,6003,537000,83,15,9,0.000004548609272444586,15,0.0397,17,45,47,CC1
ROD6220SKF11,NIL.6220 JV,538434,20,1,1,0.000028243423457221044,1,,,,,CD9
ROD3SKF,EE 3 TN9,539550,1,1,1,2.300366186675566E-7,1,0.0102,9,60,60,CD9
ROD3SKF2,EEB 3-2Z,539600,144,8,6,0.000013093670435063748,6,0.0132,9,60,60,CC1
ROD394980SKF,394980 A-2Z,539750,8,3,3,0.0000026096299187210727,3,0.0245,9,60,60,CD2
